"subind","runnum","group","N","go_rt_med","go_rt_sd","go_acc","go_error","go_omit"
"H_LDFHO1690_2_third","2","H_third",128,0.7104665,0.170385601122518,0.854166666666667,0.03125,0.114583333333333
"H_LDFHO1697_1_third","1","H_third",128,0.737037,0.132025984968201,0.885416666666667,0.0104166666666667,0.104166666666667
"H_LDFHO2079_2_third","1","H_third",128,0.6261855,0.159921583608502,0.6875,0.0520833333333333,0.260416666666667
"H_LDFHO2079_2_third","2","H_third",128,0.592548,0.152654590532467,0.822916666666667,0.0625,0.114583333333333
"H_LDFHO2167_2_third","1","H_third",128,0.5557325,0.130773648342779,0.916666666666667,0.0208333333333333,0.0625
"H_LDFHO2167_2_third","2","H_third",128,0.539801,0.117676180548343,0.947916666666667,0.0208333333333333,0.03125
"H_LDFHO2416_1_third","1","H_third",128,0.623939,0.154569791126296,0.8125,0,0.1875
"H_LDFHO2416_1_third","2","H_third",128,0.680015,0.159448918193834,0.822916666666667,0,0.177083333333333
"H_LDFHO2479_1_third","1","H_third",128,0.593864,0.127024581575772,0.90625,0.0104166666666667,0.0833333333333333
"H_LDFHO2479_1_third","2","H_third",128,0.642114,0.139086201765894,0.9375,0,0.0625
"LDFHO10297_1","1","H2_first",128,0.632517,0.171352955437199,0.916666666666667,0.0416666666666667,0.0416666666666667
