"subind","runnum","group","N","rt_median","acc_avg"
"/ldrc_c_061","3","A_control",32,4.20804309845,0.90625
"/ldrc_c_062","1","A_control",32,3.77156209946,0.90625
"/ldrc_c_062","2","A_control",32,3.79033946991,0.8125
"/ldrc_c_078","1","A_control",32,2.63778400421,0.96875
"/ldrc_c_078","2","A_control",32,3.1381289959,0.84375
"/ldrc_c_079","1","A_control",32,5.55785083771,0.90625
"/ldrc_c_079","2","A_control",32,4.34037089348,0.90625
"/ldrc_c_079","3","A_control",32,3.569398522375,0.9375
"/ldrc_c_081","1","A_control",32,4.294342041015,0.9375
"/ldrc_c_081","2","A_control",32,3.22144448757,0.9375
"/ldrc_c_081","3","A_control",32,2.93816101551,0.8125
"/ldrc_c_082","1","A_control",32,3.14901101589,0.875
"/ldrc_c_082","2","A_control",32,2.76643097401,0.875
"/ldrc_c_082","3","A_control",32,2.683660030365,0.9375
"/ldrc_c_084","1","A_control",32,3.460703969,1
"/ldrc_c_084","2","A_control",32,3.598004102705,1
"/ldrc_c_084","3","A_control",32,3.17832803726,0.96875
"/ldrc_c_085","2","A_control",32,3.43426895142,0.84375
"/ldrc_c_085","3","A_control",32,3.2196290493,0.9375
"/ldrc_c_086","1","A_control",32,3.7354118824,0.90625
"/ldrc_c_086","2","A_control",32,3.26997959614,0.875
"/ldrc_c_086","3","A_control",32,3.16921901703,0.9375
"/ldrc_c_101","1","A_control",32,2.71189379692,1
"/ldrc_c_101","2","A_control",32,3.22143793106,0.84375
"/ldrc_c_101","3","A_control",32,2.626346468925,1
"/ldrc_c_103","1","A_control",128,4.41970396042,0.703125
"/ldrc_c_103","2","A_control",128,4.38424086571,0.6796875
"rc3_c_187_2","1","A_control",32,3.74046015739,0.96875
"rc3_c_187_2","2","A_control",32,3.52096700668,0.96875
"rc3_c_187_2","3","A_control",32,4.51464700699,1
"H_LDIMG8957","1","H_control_first",32,5.625324336405,0.625
"H_LDIMG8957","2","H_control_first",32,5.46168158275,0.6875
"H_LDIMG8957","3","H_control_first",32,5.00859049435,0.65625
"H_LDIMG8960","1","H_control_first",32,4.61325076416,0.84375
"H_LDIMG8960","2","H_control_first",32,5.51485486517,0.71875
"H_LDIMG8960","3","H_control_first",32,5.670440572635,0.875
"H_LDIMG8961","1","H_control_first",32,3.33132916194,0.90625
"H_LDIMG8961","2","H_control_first",32,2.96690134056,0.96875
"H_LDIMG8961","3","H_control_first",32,2.889681013145,0.9375
"H_LDIMG8963","1","H_control_first",32,3.51738592223,0.9375
"H_LDIMG8963","2","H_control_first",32,3.53556167365,0.9375
"H_LDIMG8963","3","H_control_first",32,3.57799889132,0.96875
"H_LDIMG8972","1","H_control_first",32,3.457022566695,0.875
