"subind","runnum","first","cond_type","N","rt_median","acc_avg","groups"
"2_005_third","1",1,"active_ns",8,4.78257703781,0.875,"A_third"
"2_005_third","1",1,"active_s",8,4.452111959455,1,"A_third"
"2_005_third","1",1,"passive_ns",8,4.43491697311,0.875,"A_third"
"2_005_third","1",1,"passive_s",8,4.58009147644,1,"A_third"
"2_005_third","2",1,"active_ns",8,3.629948973655,0.75,"A_third"
"2_005_third","2",1,"active_s",8,3.37876343727,1,"A_third"
"2_005_third","2",1,"passive_ns",8,4.21745300293,0.875,"A_third"
"2_005_third","2",1,"passive_s",8,4.340675592425,1,"A_third"
"2_005_third","3",1,"active_ns",8,4.82141637802,1,"A_third"
"2_005_third","3",1,"active_s",8,3.35129749775,1,"A_third"
"2_005_third","3",1,"passive_ns",8,5.97280406952,0.625,"A_third"
"2_005_third","3",1,"passive_s",8,4.073196053505,1,"A_third"
"2_008_third","1",1,"active_ns",8,3.47536706924,1,"A_third"
"2_008_third","1",1,"active_s",8,3.966364502905,0.75,"A_third"
"2_008_third","1",1,"passive_ns",8,4.334986448285,1,"A_third"
"2_008_third","1",1,"passive_s",8,4.20901083946,0.875,"A_third"
"2_008_third","2",1,"active_ns",8,2.918813467025,1,"A_third"
"2_008_third","2",1,"active_s",8,2.595758080485,1,"A_third"
"2_008_third","2",1,"passive_ns",8,3.660765647885,1,"A_third"
"2_008_third","2",1,"passive_s",8,3.17766809464,0.875,"A_third"
"2_008_third","3",1,"active_ns",8,2.970422506335,1,"A_third"
"2_008_third","3",1,"active_s",8,2.73847913742,0.875,"A_third"
"2_008_third","3",1,"passive_ns",8,3.102818489075,1,"A_third"
"2_008_third","3",1,"passive_s",8,2.97575092316,0.875,"A_third"
"2_010_third","1",1,"active_ns",8,4.83584797382,1,"A_third"
"2_010_third","1",1,"active_s",8,3.969409584995,0.75,"A_third"
"2_010_third","1",1,"passive_ns",8,4.576596856115,1,"A_third"
"2_010_third","1",1,"passive_s",8,4.94651484489,0.625,"A_third"
"2_010_third","2",1,"active_ns",8,4.38830947876,1,"A_third"
"2_010_third","2",1,"active_s",8,3.80353498459,0.625,"A_third"
"2_010_third","2",1,"passive_ns",8,4.591389894485,1,"A_third"
