"subind","groups","runnum","first","cond_type","N","rt_median","acc_avg","city","sense","active","ID","subtype","rep","city.sense","city.active","subtype.sense","groups.sense","ID2"
"1_007","A_third","2",1,"passive_ns",8,4.29203557968,0.75,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_007","A_third","2",1,"passive_s",8,5.02632689476,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_007","A_third","3",1,"active_ns",8,4.61860752106,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_007","A_third","3",1,"active_s",8,2.65640246868,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_007","A_third","3",1,"passive_ns",8,4.171118974685,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_007","A_third","3",1,"passive_s",8,3.212582945825,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_015","A_first","1",1,"active_ns",8,6.60971391201,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_015","A_first","1",1,"active_s",8,5.45632195473,0.75,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_015","A_first","1",1,"passive_ns",8,7.51840400696,0.875,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_015","A_first","1",1,"passive_s",8,7.26346302032,0.375,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_015","A_first","3",1,"active_ns",8,6.83547449112,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_015","A_first","3",1,"active_s",8,6.17349696159,0.375,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_015","A_first","3",1,"passive_ns",8,6.007766485215,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_015","A_first","3",1,"passive_s",8,6.042071461675,0.5,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_015","A_second","1",1,"active_ns",8,7.22142696381,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","1"
"1_015","A_second","1",1,"active_s",8,5.38826417923,0.625,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_secondsense","1"
"1_015","A_second","1",1,"passive_ns",8,6.62760257721,0.75,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","1"
"1_015","A_second","1",1,"passive_s",8,6.044491052625,0.5,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_secondsense","1"
"1_015","A_second","2",1,"active_ns",8,7.20906198025,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","1"
